trade_date,open,high,low,close,volume,Z_close,Z_open,Z_high,Z_low
2008-09-01,2380.468,2380.468,2311.727,2325.135,3626524000,-1.659322739391234,-1.6095955157879218,-1.6095955157879218,-1.6713723772939906
2008-09-02,2312.102,2329.009,2284.92,2304.891,3419029100,-1.660555035504769,-1.6541026876360971,-1.63897443282877,-1.6784249341714235
2008-09-03,2301.941,2321.535,2248.067,2276.672,4225000600,-1.6687915704690512,-1.6462749903522158,-1.6288152621948182,-1.694280777570325
2008-09-04,2270.524,2295.355,2249.12,2277.411,3416308900,-1.651534214239118,-1.6576472089286982,-1.6356068762530829,-1.6766456898835076
2008-09-05,2224.527,2238.324,2199.365,2202.446,3860817100,-1.7006236915203594,-1.681103621535319,-1.668906782371169,-1.7033473605400555
2008-09-08,2210.344,2220.546,2135.375,2143.421,3766949700,-1.7345054831373594,-1.6756121288877632,-1.6666341990272613,-1.7415860971010526
2008-09-09,2152.277,2161.35,2114.503,2145.779,3072269100,-1.7146719439964964,-1.7089775231855073,-1.701026541342155,-1.7420801781123005
2008-09-10,2131.8,2185.694,2102.906,2150.759,3901204200,-1.6931103626376145,-1.7096609714305666,-1.6626132099300988,-1.7348845217477546
2008-09-11,2143.4,2148.124,2070.427,2078.981,3644180300,-1.7379857262309053,-1.6819612259242993,-1.6778528147498262,-1.7454250465497976
2008-09-12,2077.55,2104.626,2064.29,2079.673,3031247500,-1.7199029700894521,-1.7217424880818057,-1.6982819185288245,-1.7332318939125244
2008-09-16,2049.813,2049.813,1974.388,1986.636,4622344500,-1.781849805871853,-1.7273302155879902,-1.7273302155879902,-1.7924194109780904
2008-09-17,1971.944,1999.953,1922.68,1929.047,4585347200,-1.8125567970343475,-1.7756831184559063,-1.7516069624705564,-1.8180297837585693
2008-09-18,1876.122,1942.846,1802.331,1895.837,6633320200,-1.821528634398288,-1.8384008984976052,-1.78129793376198,-1.901551861731322
2008-09-19,2067.643,2075.091,2043.316,2075.091,5843353600,-1.6522038373809795,-1.6585595191578029,-1.6522038373809795,-1.6793187391611302
2008-09-22,2241.723,2269.733,2164.798,2236.41,13993063600,-1.5006666280364498,-1.4961452808260844,-1.4723088540686344,-1.5616082272136897
2008-09-23,2209.122,2253.395,2181.96,2201.51,10016515200,-1.5163493769355347,-1.5098885610482702,-1.4723110910302886,-1.5329427755950236
2008-09-24,2133.098,2218.291,2116.96,2216.811,6454781800,-1.4899748252009184,-1.5608805321299128,-1.4887212511293295,-1.5745495715672775
2008-09-25,2214.584,2333.277,2211.45,2297.501,10123040400,-1.4094932164738507,-1.4796250102267123,-1.3792336188846668,-1.4822757699216058
2008-09-26,2304.119,2310.445,2246.279,2293.784,7825930700,-1.4008894938398553,-1.392155870546415,-1.3868100649388384,-1.4410337390798051
2008-10-06,2267.394,2267.394,2172.569,2173.738,6093813700,-1.4894263636114828,-1.410388468985943,-1.410388468985943,-1.490412902635328
2008-10-07,2101.093,2182.998,2072.896,2157.839,5690261100,-1.4898732356930138,-1.5376938232303987,-1.468671421259343,-1.5614557995246157
2008-10-08,2095.911,2127.085,2059.086,2092.224,5075947300,-1.5318538757317266,-1.5287508812103052,-1.502514713265963,-1.5597429542375205
2008-10-09,2125.567,2130.87,2063.408,2074.583,4507100100,-1.5333506025784698,-1.4904998673253944,-1.4860428327842237,-1.5427429014654366
2008-10-10,1995.957,2027.831,1963.183,2000.572,5407752700,-1.5816201847237445,-1.5854933079234832,-1.5587431608230553,-1.6129987769913579
2008-10-13,1978.56,2074.468,1931.472,2073.568,5663380600,-1.5073693888014763,-1.5870081232818456,-1.5066149801092366,-1.6264787860598393
2008-10-14,2139.065,2146.73,2016.184,2017.321,6804248300,-1.5407888939708025,-1.4389164625378257,-1.4325025761291834,-1.5417403080408125
2008-10-15,1995.885,2013.491,1963.103,1994.667,4081795700,-1.5462008969211378,-1.5451831557521132,-1.5304718659148022,-1.5725752665919819
2008-10-16,1916.133,1943.32,1901.503,1909.941,5067244700,-1.603185968578105,-1.5980176207865575,-1.5753251350939224,-1.6102290109981756
2008-10-17,1921.842,1941.299,1902.598,1930.651,3864729800,-1.573250027252782,-1.5806018545160625,-1.5643634048553012,-1.5966625383456199
2008-10-20,1924.177,1979.839,1890.92,1974.006,4456978500,-1.5252547557624736,-1.566856944093257,-1.5203847891861135,-1.594623184180693
2008-10-21,1978.674,1996.658,1956.11,1958.529,5409673900,-1.5267031644812432,-1.509871340690436,-1.4948451049468832,-1.528724320189854
