,trade_date,open,high,low,close,volume,Z_close,Z_open,Z_high,Z_low,signal,reward
1022,2022-06-21,3313.787,3329.39,3279.827,3306.719,39445689100,-0.7409643044935198,-0.7028890750165446,-0.6188359050208929,-0.8858311792947146,2.0,3.099477155452268
1023,2022-06-22,3309.118,3311.021,3266.543,3267.202,37552978200,-0.9463654037588972,-0.720653173903708,-0.7104057654340429,-0.9499140333865952,2.0,2.8867514160434427
1024,2022-06-23,3269.055,3320.149,3262.294,3320.149,40061421100,-0.6558493682870364,-0.9310475514719144,-0.6558493682870364,-0.9674630780799888,2.0,2.363357789063092
1025,2022-06-24,3324.736,3356.715,3322.95,3349.747,39081973400,-0.4916664796664627,-0.626488369409011,-0.4541054494107304,-0.6361158091387379,2.0,1.131130201773467
1026,2022-06-27,3364.003,3393.309,3364.003,3379.185,41411773800,-0.328505866158523,-0.4104644359066302,-0.2522588078577522,-0.4104644359066302,2.0,0.7765777842882349
1027,2022-06-28,3377.679,3412.102,3358.867,3409.21,41205651600,-0.162755400032377,-0.3331862466888315,-0.1471236088259314,-0.4348685621022725,2.0,-0.15208802039181624
1028,2022-06-29,3399.678,3414.647,3358.468,3361.518,44057355900,-0.4165461222968115,-0.2101901061181378,-0.129242957109265,-0.4330394621643428,2.0,-0.18348853107436058
1029,2022-06-30,3358.934,3417.009,3358.934,3398.616,38124317800,-0.2134241459224429,-0.4280709797683915,-0.1139332126295504,-0.4280709797683915,2.0,-1.0068216003220054
1030,2022-07-01,3400.262,3404.052,3378.362,3387.637,35048929900,-0.2699317316627467,-0.2016202305896547,-0.1811132532378118,-0.3201170126491177,2.0,-0.9315933200635174
1031,2022-07-04,3381.819,3405.619,3364.095,3405.427,35773791900,-0.1711707481710037,-0.2989591064474804,-0.1701314663686873,-0.3948978078238054,2.0,-2.696959881976635
1032,2022-07-05,3411.13,3424.837,3372.062,3404.025,41169967200,-0.1761480080367313,-0.1376724118526154,-0.0634451075745478,-0.3492367456627552,2.0,-3.60038483853673
1033,2022-07-06,3391.027,3391.027,3333.097,3355.35,38463004700,-0.4356029002125117,-0.2423094648703426,-0.2423094648703426,-0.5561668158071305,2.0,-2.117752246412441
1034,2022-07-07,3353.128,3375.86,3332.309,3364.398,33440020200,-0.3825134837400249,-0.4436161261294102,-0.3203698735299862,-0.5564906524740965,2.0,-2.456724798909049
1035,2022-07-08,3380.369,3386.315,3354.121,3356.078,32292107200,-0.4233718613528471,-0.2915859302805794,-0.2593271041245674,-0.4339891709369899,2.0,-3.8144822617352747
1036,2022-07-11,3341.102,3341.102,3297.005,3313.584,34266919300,-0.6481900063440851,-0.498757265906087,-0.498757265906087,-0.7382200013917458,2.0,-1.070774122521101
1037,2022-07-12,3307.221,3319.251,3277.079,3281.467,33460053900,-0.8159574714848501,-0.6760418388511825,-0.6106855811598314,-0.8397964788622099,2.0,-0.06204542053904749
1038,2022-07-13,3279.603,3297.019,3266.481,3284.292,33184566900,-0.794318482082135,-0.8197907202819457,-0.7251811019223999,-0.8910738743996516,2.0,0.6221127719459929
1039,2022-07-14,3277.455,3299.251,3261.493,3281.744,35592643200,-0.8016809493114246,-0.8249858250122967,-0.706554239380171,-0.9117175633982374,2.0,-0.29688482709193664
1040,2022-07-15,3261.383,3288.92,3228.061,3228.061,38015637100,-1.0846702401218724,-0.9037651183007284,-0.754266758670786,-1.0846702401218724,2.0,1.2983955383742751
1041,2022-07-18,3235.088,3278.472,3226.232,3278.103,34834602200,-0.8071476873322434,-1.0404853230836284,-0.8051460230850669,-1.0885252650158457,2.0,-0.8454584862037651
1042,2022-07-19,3278.722,3283.93,3256.015,3279.431,31565191800,-0.7939941717077602,-0.7978379469177826,-0.7696032765457096,-0.9209417603084732,2.0,-0.06083372389905639
1043,2022-07-20,3291.551,3308.347,3287.744,3304.724,30151512300,-0.6518817502876351,-0.7232829161323476,-0.6322441260672302,-0.7439178693222666,2.0,-0.87659362778858
1044,2022-07-21,3297.661,3300.535,3272.001,3272.001,33235870700,-0.822875725202317,-0.6838447467083322,-0.6682728436611114,-0.822875725202317,2.0,0.3231967227393717
1045,2022-07-22,3276.197,3293.644,3246.731,3269.974,30069006600,-0.8277305819461532,-0.794038926820636,-0.6995799348593809,-0.953569428175046,2.0,-0.5118083507697713
1046,2022-07-25,3269.707,3273.184,3243.031,3250.388,27124574400,-0.9268513571075336,-0.8223743320835989,-0.8035707389365284,-0.966637964752913,2.0,0.29445715403821904
1047,2022-07-26,3254.185,3282.413,3246.044,3277.436,25946867600,-0.7745632187261681,-0.9002704133046409,-0.7476549262907014,-0.9442849619719388,2.0,-2.7817476832499577
1048,2022-07-27,3271.783,3282.574,3265.727,3275.755,24913148500,-0.7774400512406063,-0.7989155209914974,-0.74057166548247,-0.8316585836328344,2.0,-3.4215318300666597
1049,2022-07-28,3287.502,3305.706,3277.108,3282.576,28805505600,-0.7349999138500471,-0.7083767460094492,-0.6099910076070423,-0.7645523868001868,2.0,-2.8494999049526903
1050,2022-07-29,3282.811,3294.805,3246.368,3253.238,30733104700,-0.886592852904599,-0.7268142879390901,-0.6620124718164024,-0.9237104514341028,2.0,-0.8056895929532293
1051,2022-08-01,3246.616,3264.304,3225.553,3259.959,29220480500,-0.8438211589137957,-0.9158712927346956,-0.8203588317421079,-1.0296082311046,2.0,-0.7062972264375023
